name,position,b,t,class,school,division,state,hometown,obj
Riley Perks,OF,,,Junior,Freed-Hardeman University,NAIA,TN,"Waterdown, Ontario",
Dominic Campeau,C/IB,,,Senior,Hope International University,NAIA,CA,"Orange, California",
Dylan Howard,C,,,Freshman,Frank Phillips,Junior Colleges and Community Colleges: Division 1,TX,"London, Ontario",
Shuta Araki,INF,,,Freshman,Colorado Northwestern,Junior Colleges and Community Colleges: Division 1,CO,"Victoria, BC",
Blake Buckle,OF-C,,,Freshman,Northwest Florida State,Junior Colleges and Community Colleges: Division 1,FL,"Milton, Ontario",
Kurt Dillon,RHP,,,Freshman,Galveston,Junior Colleges and Community Colleges: Division 1,TX,"Toronto, Ontario",
Connor Dykstra,C,,,Freshman,Galveston,Junior Colleges and Community Colleges: Division 1,TX,"Toronto, Ontario",
Brandon Nicoll,INF,,,Freshman,Galveston,Junior Colleges and Community Colleges: Division 1,TX,"Langly, British Columbia",
Eric Martin,OF/RHP,,,Freshman,Olney Central,Junior Colleges and Community Colleges: Division 1,IL,"Elmira, Ontario",
Greg Ross,RHP,,,Freshman,Howard (TX),Junior Colleges and Community Colleges: Division 1,TX,"Sarnia, Ontario",
Ricardo Sanchez,INF/RHP,,,Freshman,Crowder,Junior Colleges and Community Colleges: Division 1,MO,"Okotoks, Alberta",
Matthew Taubensee,LHP,,,Sophomore,Lake-Sumter State,Junior Colleges and Community Colleges: Division 1,FL,"Winter Garden, Florida / Toronto, Ontario",
Taisei Yahiro,LHP,,,Sophomore,Yavapai,Junior Colleges and Community Colleges: Division 1,AZ,"Abbotsford, British Columbia",
Brock Alexander,1B,R,R,Freshman,Dakota,Junior Colleges and Community Colleges: Division 2,ND,"Calgary, Alberta",
Tyson Pringle,LHP,R,R,Freshman,Dakota,Junior Colleges and Community Colleges: Division 2,ND,"Boissevain, Manitoba",
Carter Scott,RHP,R,R,Freshman,Dakota,Junior Colleges and Community Colleges: Division 2,ND,"Airdrie, Alberta",
Jesse Skelton,RHP,R,R,Freshman,Dakota,Junior Colleges and Community Colleges: Division 2,ND,"Hartney, Manitoba",
Joben Smith,C,R,R,Freshman,Dakota,Junior Colleges and Community Colleges: Division 2,ND,"Boissevain, Manitoba",
Tanner Boyle,UTL,R,R,Sophomore,Williston State,Junior Colleges and Community Colleges: Division 2,ND,"Winnipeg, Manitoba",
Jamie Cabral,OF,,,Freshman,Sussex County,Junior Colleges and Community Colleges: Division 2,NJ,"Woodbridge, Ontario",
Tyren Dorrance,OF,,,Freshman,Taft College,California Community College Athletic Association,CA,"Alameda, Saskatchewan",
Nick Rein,INF,,,Freshman,Taft College,California Community College Athletic Association,CA,"Regina, Saskatchewan",
Colton Girard,1B,,,Freshman,Taft College,California Community College Athletic Association,CA,"St. Albert, Alberta",
Connor Irvine,RHP,,,Freshman,Lassen College,California Community College Athletic Association,CA,"Victoria, British Columbia",
Cassidy Watt,C,,,Freshman,Lassen College,California Community College Athletic Association,CA,"Coquitlam, British Columbia",
Reece Helland,RHP,,,Sophomore,Monterey Peninsula College,California Community College Athletic Association,CA,"Moose Jaw, Saskatchewan",
Brady Wilson,RHP/INF,,,Sophomore,Lassen College,California Community College Athletic Association,CA,"Calgary, Alberta",
Holden Cumiskey,C/OF,,,Freshman,Cuesta College,California Community College Athletic Association,CA,"Langley, British Columbia",
Thomas Hemer,RHP,,,Freshman,College of the Canyons,California Community College Athletic Association,CA,"Vancouver, British Columbia",
Logan Sheasgreen,1B,,,Freshman,Hartnell College,California Community College Athletic Association,CA,"Miramichi, New Brunswick",
